Speaker,Source,Speech_Excerpt
www.deepakchopra.com,https://www.deepakchopra.com/articles/,"Although polls regularly show that people believe they have a soul and that God exists, it’s fair to say that the relevance of religion is steadily fading, as it has for decades. There are milli..."
www.deepakchopra.com,https://www.deepakchopra.com/articles/,Due to the volume of inquires Deepak is unable to answer all questions he receives. Add email and name If you want to recieve an e-mail notification when he answers your question.
